ZONE,CS,HS,1S,RR,RT
SOUTH YARRA,24.44,31.63,39.43,49.09,57.3
SPOTSWOOD,29.21,37.53,46.93,58.38,68.86
SPRINGVALE,16.27,21.51,26.59,33.12,37.43
ST ALBANS,33.94,43.39,54.37,67.62,80.36
ST KILDA,23.15,30.03,37.43,46.57,54.17
STRATHMORE,30.91,39.64,49.6,61.72,73.01
SUNSHINE,31.78,40.72,50.99,63.41,75.12
SURREY HILLS,23.62,30.6,38.1,47.44,55.25
SYDENHAM,36.56,46.62,58.43,72.71,86.67
SYNDAL,20.12,26.29,32.65,40.66,46.83
TARNEIT,36.97,47.13,59.1,73.53,87.7
TAYLORS LAKES,35.22,44.98,56.38,70.14,83.49
TEMPLESTOWE,27.06,34.86,43.54,54.17,63.62
THOMASTOWN,32.65,41.79,52.32,65.11,77.23
THORNBURY,28.75,36.97,46.21,57.51,67.78
TOORAK,24.9,32.19,40.15,49.96,58.38
TOORONGA,23.62,30.6,38.1,47.44,55.25
TOTTENHAM,30.09,38.61,48.26,60.07,70.96
TRUGANINA,35.22,44.98,56.38,70.14,83.49
TULLAMARINE,33.53,42.87,53.71,66.8,79.33
VERMONT,22.28,28.96,36.04,44.87,52.06
VIEWBANK,29.62,38.05,47.6,59.2,69.88
WANTIRNA,21,27.36,34.04,42.36,48.93
WARRANDYTE,27.06,34.86,43.54,54.17,63.62
WARRANWOOD,24.9,32.19,40.15,49.96,58.38
WATSONIA,30.09,38.61,48.26,60.07,70.96
WERRIBEE,39.12,49.8,62.49,77.74,92.94
WEST MELBOURNE,26.59,34.3,42.82,53.3,62.54
WESTALL,16.68,22.02,27.26,33.94,38.46
WESTMEADOWS,34.4,43.95,55.04,68.5,81.44
WHEELERS HILL,17.97,23.62,29.26,36.45,41.59
WILLIAMS LANDING,36.09,46.06,57.76,71.83,85.6
WILLIAMSTOWN,30.91,39.64,49.6,61.72,73.01
WINDSOR,23.62,30.6,38.1,47.44,55.25
WONGA PARK,27.47,35.38,44.21,54.99,64.64
WYNDHAM VALE,41.28,52.47,65.88,81.95,98.18
YARRAVILLE,29.62,38.05,47.6,59.2,69.88
